I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,"Do you use any AI-powered tools or features in your work or daily life?  (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search)? ","How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",Using AI tools influences my emotional state. ,I sometimes feel emotionally flat or neutral after using AI-powered tools. ,I feel more emotionally drained after long or repeated use of AI tools ,AI tools sometimes give me a sense of relief or support when I feel overloaded. ,My mood can shift quickly during or after using AI tools and chats. ,Using AI-powered tools influences how I see myself and my abilities. ,I sometimes question what is genuinely “mine” versus shaped by suggestions from AI tools. ,AI tools affect how authentic my work or ideas feel. ,I sometimes feel less connected to my real self when I rely heavily on AI tools. ,I worry that regular use of AI systems may blur or weaken parts of my identity. ,AI tools influence how creative I feel. ,I rely on AI tools to spark ideas or creative directions. ,My creative work feels less original when AI tools are involved. ,AI tools help me express ideas more clearly or fluidly. ,AI tools make creative work easier but sometimes less meaningful. ,AI systems influence the way I think internally. ,They affect how deeply I engage with my own thoughts. ,They shape what I focus on or pay attention to. ,They influence how I process problems or decisions. ,AI systems affect my sense of meaning or purpose in some tasks. ,I use AI tools to check whether my thoughts or opinions are correct. ,I use AI tools in ways that reinforce my existing beliefs about a topic. ,I rely on AI tools to help me evaluate or question my thinking. ,I rely on digital tools or AI to validate my thinking rather than explore alternative perspectives.  ,AI tools influence how meaningful certain tasks or activities feel. ,Relying on AI systems can make me feel less connected to my core values. ,"AI systems sometimes affect my sense of authenticity in how I think, work, or express myself ",How have AI tools influenced your emotions or inner experience? ,How have AI tools influenced your creativity or originality? ,What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Employed full time,Yes,Very often,3,3,3,5,3,5,5,4,3,5,5,5,3,5,4,5,5,3,6,5,3,6,6,3,5,3,5,On days where i heavily rely on ai tools for work it makes me doubt my own skills and whether my ideas are original,AI has helped improve my creativity in the sense that its great for brainstorming or coming up with suggestions on how to improve a creative idea,25 - 34,Canada,Woman
Yes,Not currently working,Yes,Occasionally,2,1,3,4,1,4,1,1,5,7,1,1,6,2,5,1,1,3,4,1,1,2,1,2,5,6,4,No,No,35 - 44,UK,Woman
Yes,Employed full time,Yes,Very often,6,4,5,5,5,5,5,4,3,3,4,4,3,5,4,5,4,4,5,3,5,5,5,4,4,3,5,"I can use them like I would a person if nobody is available, they can offer a different perspective when I need to make a decision. ",I can use them to push me through a creative block and not overthink.,35 - 44,UK,Man
Yes,Not currently working,No,Occasionally,2,2,4,5,2,3,2,5,2,5,3,2,6,5,6,2,5,4,5,6,3,5,2,5,5,6,6,I don't feel any emotional connection,Feels like cheating.,55 - 65,UK,Man
Yes,Employed full time,Yes,Often,6,3,2,7,5,6,3,4,2,1,7,7,2,7,2,2,2,4,6,5,4,6,6,4,5,2,2,it has positively influened my emotional experience,absolutely it has enhanced it,25 - 34,UK,Woman
Yes,Employed full time,Yes,Sometimes,4,4,3,3,3,4,3,4,3,3,3,3,5,4,4,3,3,2,4,3,3,3,4,3,3,4,4,They sometimes affect how I feel depending on the output and the sort of emotional connection they may bring forth.,They may inspire how I write or organize my texts.,25 - 34,US,Man
Yes,Employed full time,Yes,Very often,2,1,1,2,1,1,1,1,1,1,3,4,5,6,6,2,4,3,2,2,2,3,3,2,2,4,3,"Nothing major really. It doesn't influence my emotions or anything like that. It can help with creativity at times, but doesn't effect my emotions in anyway. ","Helps explore other ideas and creative measures. Gives you different visions, can help with visuals and story telling. ",35 - 44,US,Woman
Yes,Employed full time,Yes,Very often,1,5,6,6,5,6,7,7,6,6,6,4,7,5,5,6,6,6,5,6,6,7,5,4,6,4,6,I feel reliefed and beleive that what ai has to offer is somewhat believable on specific concepts when lessen the workload i have,it reduced my creativity since I am using it to craft and organize my thoughts,18 - 24,US,Woman
Yes,Employed full time,Yes,Often,4,5,3,5,4,4,5,6,6,7,5,4,4,5,5,5,6,5,5,6,6,5,5,6,5,4,5,It sometimes makes me feel like I am losing my skills.,I can get help refining my emails and manage my schedule ,25 - 34,US,Woman
Yes,Employed full time,Yes,Sometimes,6,1,7,1,7,1,4,4,1,1,4,2,4,2,5,1,2,4,4,1,6,2,7,1,3,2,2,"It's mainly a work AI, and makes me exceedingly angry and impatient. Very primitive. Other than that, What I have asked them have not affected me emotionally. They are a tool, no more than an encyclopedia on steroids","Nothing so far other than giving me a better understanding of certain systems. I have anticipated all of it's outcomes mostly, regardless of the model. It hasn't yet",45 - 54,US,Woman
Yes,Employed part-time,Yes,Occasionally,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,They have no effect whatsoever ,No effect ,45 - 54,UK,Woman
Yes,Other,Yes,Sometimes,1,1,1,2,1,1,4,4,1,1,4,4,4,4,3,1,1,3,4,1,4,5,3,4,1,1,3,Make me pleased when I find a solution to a problem,It has helped,55 - 65,UK,Man
Yes,Employed full time,Yes,Very often,5,2,1,6,4,4,2,2,1,1,5,5,2,5,1,3,1,1,3,2,4,5,3,2,1,1,1,AI tools has provided a positive influence on my emotions because sometimes I use it as a way to work through my feelings and thoughts to help me better sort through them,It has helped me put my creativity in order. Helped me organize my brainstorming ideas,45 - 54,US,Woman
Yes,Employed part-time,Yes,Sometimes,6,5,6,7,6,5,6,6,7,6,7,3,7,7,7,5,5,3,5,3,6,6,6,2,2,6,7,"AI tools generally help me recognise my inner experience and sometimes validate me, especially when i am feeling vulnerable. However, i try to remember to have critical thinking when using AI tools and try to figure things out for myself sometimes. ","I dont really like to use AI tools when im trying to be creative or come up with things. I try to use my own mind to do these things. However, I do occasionally use them to AID my creativity, rather than replace it completely. I believe the AI tools can help spur certain ideas of mine",25 - 34,Australia,Woman
Yes,Employed full time,Yes,Occasionally,2,2,2,5,2,3,4,3,1,2,3,1,3,5,3,1,1,4,3,1,1,4,1,1,2,3,1,"They haven’t. Only use them
Minimally usually for minute taking ",They haven’t. Don’t use for creative purposes ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Everyday,2,4,1,4,1,2,4,4,1,5,2,1,6,5,6,1,1,1,2,1,2,1,3,1,1,5,6,Using AI tools has previously made me feel like an imposter,"With the introduction of vibe coding, I have been able to use AI tools for creativity and prototype development for me to continue to work on the code from that basis.",25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,2,1,1,6,4,5,6,3,2,7,7,6,1,7,5,6,7,5,7,2,5,1,5,3,7,2,7,It has not affected my emotions as there are no emotional attachments with AI usage,It makes me feel more creative but then i do doubt the originality of my ideas whose generation was aided by AI,35 - 44,UK,Man
Yes,Employed part-time,Yes,Everyday,5,1,2,7,4,5,2,4,3,1,4,7,4,7,3,4,1,2,3,2,6,3,7,1,2,1,1,They've given me more hope and confidence in my future and my abilities. I've been able to discover and recognise my strengths and how to use those strengths to achieve my goals. ,"They've helped me sort my abstract ideas into something tangible and that can be understood, described and leveraged. They've influenced my mindset to lean into my creative ideas and explore them for commercial use. ",55 - 65,Australia,Woman
Yes,Employed full time,Yes,Everyday,2,2,3,4,3,4,3,3,5,3,5,3,3,6,3,4,3,5,5,5,6,6,6,5,5,3,3,AI tools provide extra confidence for me because it could help me to express my idea in a more fluent way,AI tools sometimes sparks my creativity when I brainstorm ideas with them,35 - 44,Australia,Man
Yes,Employed full time,Yes,Often,3,3,5,4,3,3,3,3,5,4,3,4,4,4,3,4,4,3,4,3,3,3,4,4,4,4,3,They help me feel better when I need ideas to work out problems ,They give me ideas to make things better like cooking recipes ,35 - 44,US,Woman
Yes,Employed full time,Yes,Occasionally,5,2,2,6,4,4,5,5,6,6,3,7,6,5,6,4,4,2,3,5,1,1,1,3,4,5,5,I find it helpful to generate a draft to collate my thoughts better when overwhelmed at work,enhanced it for great ideas,45 - 54,Australia,Woman
Yes,Employed full time,Yes,Often,2,3,3,5,2,5,3,4,3,3,5,3,3,6,5,3,3,2,4,3,6,4,6,4,3,2,3,Usually positively. They give me clarity on complicated matters sometimes.,"I use them to augment my ideas, rather than to replace them entirely.",25 - 34,Canada,Man
Yes,Self-employed / freelance,Yes,Everyday,1,1,2,4,4,1,1,1,1,1,1,4,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,I don't feel as if they have influenced my emotions at all. Other then inducing irritation. ,My creativity is my own and I dont turn to ai for creativity,45 - 54,US,Woman
Yes,Employed full time,Yes,Often,2,4,2,3,1,1,1,1,5,1,1,1,6,1,6,1,1,1,5,5,3,1,6,5,3,1,5,"I've never used AI tools for emotional purposes, so I don't feel like it has any impact on my emotions or feelings in general.","I've used AI to help clean up images without having to use Photoshop, for example, so I use AI as more of an aid here and there, as opposed to something that thinks or acts totally on my behalf. Basically, it's a helping hand on the side when I need it.",25 - 34,Canada,Woman
Yes,Employed full time,Yes,Rarely,4,5,4,6,4,4,5,5,4,3,5,6,4,6,5,5,4,5,5,4,5,4,5,4,5,4,5,AI tools can be helpful and supportive but sometimes make me feel a bit detached.,"AI tools spark ideas and clarify expression, though work can feel slightly less personal.",35 - 44,US,Woman
Yes,Student,Yes,Everyday,7,5,1,7,7,7,5,6,5,4,7,5,4,2,4,3,5,6,5,4,4,4,4,4,6,4,4,I love it,It makes it brighter,18 - 24,US,Woman
Yes,Student,Yes,Often,2,6,1,5,2,5,5,6,6,5,3,5,5,6,6,2,3,2,6,5,2,3,5,3,6,5,5,"I don't think AI has influenced my emotions much as I treat it more as a tool for knowldge related subjects, not dealing with more human related subjects such as emotions or thought. ","As a not so creativity person, I have used AI to help generate potential ideas and then see if that sparks something in me. I use it as a tool like a stepping stool to get me started.",18 - 24,Canada,Man
Yes,Employed full time,Yes,Very often,5,1,1,3,1,3,1,1,1,1,5,4,1,7,4,1,1,1,3,1,3,7,7,3,1,1,1,"They make some tasks less stressful, easier to manage but at the same time it's sometimes frustrating when it's not understanding what your asking it.",They help provide ideas or inspiration when I'm stuck.,25 - 34,UK,Man
Yes,Employed full time,Yes,Everyday,1,1,1,7,4,1,1,5,1,1,3,3,2,5,5,1,1,1,6,1,2,1,1,1,1,1,1,The relieved work related stress by helping with finding answers or creating reports etc,They boosted it by giving me ideas,55 - 65,Australia,Woman
Yes,Employed full time,Yes,Everyday,4,3,2,6,4,4,2,3,2,4,3,2,6,6,6,2,3,3,2,6,5,2,2,5,5,4,7,"They haven't really changed them but I do feel a relief when they make a task quicker.  On the opposite side, I also feel sad that they 'take over'.  A unique strength for me has always been by quality of writing- reports, letters etc.  Not everyone can do this through AI and it has somewhat taken away a strength of mine because everyone can now do this just as well.",They haven't really- but they have made a lot of things quicker. ,45 - 54,UK,Woman
Yes,Employed full time,Yes,Very often,5,1,2,5,1,4,3,5,3,3,6,6,5,7,4,2,3,6,6,3,6,6,6,3,4,2,3,AI tools do not have an effect on my emotions or my inner self. I remain neutral,AI has really helped me to word things in a particular way. I put the hard work in but it gives it the finishing touch. It has enabled me to create some really good work,25 - 34,UK,Woman
Yes,Employed full time,Yes,Sometimes,4,1,1,6,4,5,1,5,1,1,5,5,4,6,4,4,4,4,4,4,6,6,5,4,5,1,1,I feel pleased and empowered when I am able to get help with my work/presentations etc.,It sometimes helps me to come up with better ideas for the task at hand.,55 - 65,UK,Woman
Yes,Employed full time,Yes,Often,4,7,3,1,1,2,3,5,4,2,2,1,6,5,5,2,2,2,2,2,1,1,2,1,1,1,2,"It makes me realize that human speech cannot be easily replicated yet, the connection with real people is more genuine.",I think AI is helpful for my creativity since it was not a strong point of mine in the first place.,35 - 44,Canada,Man
Yes,Employed part-time,Yes,Sometimes,2,3,2,7,2,5,7,4,1,1,3,7,5,7,7,2,5,5,3,5,7,7,1,6,3,1,5,Relief ,I sometimes feel unoriginal or dumb when i use it,25 - 34,Australia,Woman
Yes,Not currently working,No,Occasionally,2,1,2,2,1,3,2,2,1,3,4,2,5,4,5,4,5,3,2,1,5,6,3,5,2,4,5,The lead me to question whether I am actually feeling the right way in situations I had never contemplated before. I try to avoid these thoughts and continue to go with my own instincts.,I try to avoid using AI tools for creative tasks unless specifically required to. I have a fear that using them will begin to make my thinking lazy and lead me to rely on them more than I should.,55 - 65,UK,Man
Yes,Employed full time,Yes,Often,2,3,3,3,2,2,3,4,2,2,5,4,5,3,5,3,3,2,2,3,5,4,5,3,4,2,3,"I don't really chat with AI for personal reasons or anything like that, I mainly just use it to organize certain things, generate and brainstorm ideas when necessary, and for trivial answers. I treat it strictly as a tool, not as a guide or advisor, and I think because of this I don't feel that it really has influenced my emotions in any meaningful way.","It's just streamlined the process. Once again, it's just a tool and a sounding board to generate ideas, but I don't think it encompasses the entire creative process. You still ultimately have ownership and can allow for how much, or how little, AI is involved throughout that process. ",35 - 44,Canada,Man
Yes,Employed full time,Yes,Occasionally,3,4,5,2,4,3,5,6,5,5,6,1,7,2,7,3,2,3,3,3,4,3,3,4,4,7,5,Made me question if my views were my own or heavily influenced,Cheapened the effort put in to my work,35 - 44,Canada,Man
Yes,Employed full time,Yes,Occasionally,4,5,5,5,4,5,6,6,2,4,6,3,7,7,7,2,1,4,5,4,6,7,5,5,4,5,6,It's sometimes made me question my true ability; I sometimes feel like I'm cheating by relying on it for help,It has helped me to be able to express my feelings and thoughts much better in words than I could come up on my own for things like emailing or writing letters and messages to others.,35 - 44,Canada,Woman
Yes,Employed full time,Yes,Everyday,3,2,2,5,3,3,3,3,3,3,3,2,2,5,4,3,3,2,3,3,6,3,6,3,3,3,3,They haven't really - I can understand their uses and ca be very objective when using them,I think they have helped me as a thinking partner to think through ideas as I work remotely alone.,35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,5,4,5,6,3,5,7,6,5,3,5,7,4,7,5,5,6,5,6,7,5,5,6,5,6,4,6,Using AI tools have influenced my emotions and inner experiences by making me more numb to creative thought and has made me think less for myself. AI has helped me rationalize many issues and help construct many different ideas which has improved my mental health but also made me question myself more. ,AI tools have influenced this by being an accessible tool at my disposal that creates a pipeline of creative thought. It has made me think less for myself while also sparking new ideas within me.,18 - 24,Canada,Man
Yes,Self-employed / freelance,Yes,Everyday,3,5,1,2,2,5,4,4,3,2,4,4,4,4,4,3,1,2,2,2,2,2,2,2,3,3,4,they make me feel better about completing tasks,it adds an extra element to my creativity,45 - 54,UK,Man
Yes,Employed full time,Yes,Occasionally,1,1,1,1,1,1,1,1,1,1,2,5,5,1,5,1,1,1,1,1,1,1,1,1,2,3,1,"They haven't, that I'm aware of. I don't use AI chatbots in ways that resemble communicating with another person.",Only slightly - I use AI video and image generators to produce social media content/store flyers/designs for my workplace. It wasn't rewarding work to start with so I don't feel any real loss from AI use.,35 - 44,US,Man
Yes,Employed full time,Yes,Often,1,1,1,7,1,1,1,1,1,1,3,5,3,7,5,1,1,1,1,1,7,7,7,3,1,1,3,AI tools are just that- a tool. They support me in the ways i direct them to and it is up to me to dictate how much or how little I let it influence me.,AI tools have helped with creating presentations at work and they have been a very valuable tool in doing so.,35 - 44,UK,Woman
Yes,Employed full time,Yes,Everyday,1,1,1,1,1,2,2,7,3,7,1,1,4,4,7,1,6,7,7,2,1,3,3,3,1,2,7,I use AI for general non life changing questions only. I wonder if even that is overuse. I worry about getting a lazy brain [if there is such a thing]. ,It has not influenced my creativity as I dont use it for that. I DIY and craft regularly and come up with my own ideas.,55 - 65,US,Woman
Yes,Employed part-time,Yes,Very often,5,4,3,6,5,5,6,4,3,4,5,6,3,7,4,5,4,6,5,3,6,4,5,3,5,3,4,"AI sometimes makes things feel easier, but it can also make me feel a bit flat or tired after long use.","AI gives me quick ideas, but I still try to make the final work feel like my own.",25 - 34,US,Man
Yes,Employed part-time,Yes,Sometimes,4,3,1,3,3,4,5,4,3,4,3,3,4,4,3,1,1,4,4,3,5,5,2,1,2,4,3,"They don't ,,they're not magic, sometimes as yous explained, how much is me, how much did I create, the whole world is on a 'do it for me' binge create the same , one day everything will be a clone borefest ","they create originality .. They give every one the same thing .. Unoriginality .. Its like the ultimate cheat, which has become acceptable ",55 - 65,UK,Man
Yes,Not currently working,Yes,Sometimes,1,1,3,1,7,3,1,1,1,1,4,5,2,3,2,3,3,4,3,2,6,5,4,3,3,1,1,They have opened up new options for me and this has enhanced my experiences and given me alternatives I wouldn’t have known were available ,Their suggestions have widened my thinking ,45 - 54,UK,Woman
Yes,Employed full time,Yes,Occasionally,2,2,2,5,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,2,3,3,3,3,i do not think they have really, i tend to use them for gathering information so i dont think they have affected my creativity,55 - 65,UK,Woman
Yes,Employed part-time,Yes,Rarely,3,2,2,6,3,6,5,5,4,3,5,3,7,2,4,4,3,3,3,5,2,2,2,2,5,5,5,They've made me less willing to engage in creative/artistic projects since they seem less meaningful now that anyone can easily create some of them digitally. ,They given some ideas and ways to explore them.,35 - 44,Canada,Man
Yes,Employed part-time,Yes,Often,4,2,1,6,5,5,7,6,7,6,6,6,6,5,6,3,2,2,2,3,5,2,4,2,4,6,6,They sometimes make me happy that it's come up with ideas that I had not thought of. ,"I get ideas from AI, and in turn, I can get more ideas, then combine them.  I try to make my work as original as I can, and in the end, I prefer more of my project to be my own ideas.",55 - 65,Canada,Woman
Yes,Self-employed / freelance,Yes,Often,4,3,3,5,4,4,3,4,4,5,4,2,4,4,5,2,2,3,3,4,3,3,4,4,5,5,5,"They've made me more guarded and more skeptical of what I read and see, not just online but in more traditional forms of media as well.","They've mostly helped flesh out ideas I have for stories and such, but I find sometimes I'm writing such detailed prompts to achieve what I want that I question how much is really AI and how much is just my own creativity. ",35 - 44,Canada,Man
Yes,Employed part-time,Yes,Everyday,5,2,1,7,4,5,2,2,1,2,4,3,2,6,4,5,3,4,5,3,2,4,5,2,2,2,2,They help me deal with the boring stuff so I can be free to do more of what I enjoy,"They help me quickly explore new ideas and concepts, or expand on existing ones",25 - 34,UK,Man
Yes,Employed part-time,Yes,Occasionally,4,5,5,6,3,3,2,5,3,5,1,3,6,5,5,2,2,3,3,4,4,3,5,2,5,6,5,I sometimes feel guilty for using AI ,"I've used it a few times to help come up with ideas for projects when I haven't been able to come up with my own, but I put my own creative spin on them so it wasn't completely unoriginal. ",18 - 24,Canada,Woman
Yes,Employed full time,Yes,Often,1,1,1,1,1,4,1,1,1,1,1,3,1,5,1,1,1,1,4,1,2,3,3,3,1,1,1,They have not affected my emotions at all (apart from being a little scared about the future of humanity),The AI tools create ideas and thoughts that I might not have independently thought of.,55 - 65,Australia,Man
Yes,Employed full time,Yes,Very often,1,6,1,1,1,1,1,7,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,I just feel neutral/indifferent when using AI tools.,AI tools sometimes helps me to develop creative concepts.,25 - 34,Canada,Woman
Yes,Student,Yes,Sometimes,1,2,3,2,1,1,4,5,5,5,5,1,7,4,5,2,2,2,2,2,1,1,3,1,4,5,5,Sometimes I feel disappointed after relying on AI.,I feel the ideas aren't mine when I use AI.,18 - 24,US,Man
Yes,Self-employed / freelance,Yes,Everyday,1,1,1,1,1,3,3,4,4,1,4,2,5,3,5,1,1,1,1,1,1,1,1,1,3,1,2,I haven't noticed any change at all.,They have rendered many of my photoshop or sketching skill obsolete.,35 - 44,US,Man
Yes,Employed full time,Yes,Rarely,3,1,2,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,4,1,1,1,They annoy and frustrate me at their low quality and erroroneous output on anything serious.,"They haven't, as they are unusable in the areas I need to be creative or original",45 - 54,UK,Man
Yes,Employed full time,Yes,Very often,2,1,3,5,2,1,2,2,1,1,2,2,2,4,4,1,1,1,3,1,2,3,2,2,2,2,1,They haven't really. It's just something I use as a kind of assistant so that I can efficiently complete certain projects.,"They give me more inspiration in a sense, but I think my level of creativity has stayed the same",35 - 44,UK,Man
Yes,Not currently working,No,Rarely,1,1,1,2,2,1,1,4,1,1,1,1,6,4,5,1,1,1,4,4,1,1,1,1,1,4,6,i dont think they have as i dont use it often,again i dont think they have had any imapct,55 - 65,UK,Woman
Yes,Self-employed / freelance,No,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,They haven’t yet as don’t know too much about them,Not tried them yet,55 - 65,UK,Man
Yes,Employed full time,Yes,Occasionally,4,6,4,5,3,2,2,2,2,2,3,1,2,4,6,1,2,2,4,2,1,1,5,2,2,3,2,"I would say they help manage stress slightly, when I turn to AI tools it's normally as a springboard or starting position to help get to a solution quicker, which can alleviate a lot of the frustrations of initial digging around for information","Generally I would say this hasn't effected either for me, they provide quick access to a wide range of reference materials, normally better than some search engines in a much more concise format. I find this helps when brainstorming, but the ideas I come up with would still be my own ",25 - 34,UK,Man
Yes,Employed full time,Yes,Occasionally,1,7,7,2,4,5,6,7,7,7,4,3,1,5,5,1,1,4,4,6,4,4,7,3,4,4,4,makes you feel like you cant do the job,"yes, coming up with better ideas",35 - 44,UK,Man
Yes,Employed full time,Yes,Everyday,1,1,1,5,1,4,1,1,2,1,2,2,2,6,3,2,1,3,5,2,2,2,4,2,2,1,1,I wouldn’t say they really have in any noticeable capacity. ,They help me to refine or express my ideas more clearly,25 - 34,Australia,Woman
Yes,Employed full time,Yes,Often,1,3,2,6,1,3,6,5,7,7,5,5,7,5,7,5,4,5,4,5,6,3,5,4,5,7,5,Not so much my emotions but the creative process. When I used ai to help with school I’d often get too much information and have to tell ai I didn’t want with done for me ,Overuse can make work less impactful ,35 - 44,US,Woman
Yes,Not currently working,Yes,Everyday,2,3,1,7,4,5,2,3,3,2,4,2,2,6,3,4,4,3,5,2,6,5,6,3,3,2,3,"I think ai can be a great tool for a kind of therapy. If I feel negatively about a situation, I can explain it all and I feel ai is understanding and can provide an alternative way of seeing a situation which I personally find massively helpful. ","I often use ai to help with ideas for a wide range of things, this can sometimes do the job for me or sometimes it just helps me thinking of other things ",25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Sometimes,4,2,1,6,4,3,3,2,2,3,2,2,3,4,5,3,2,2,3,3,3,3,3,3,2,3,3,Sometimes I find it easier to explain my emotions to AL rather than real people,I sometimes rely on it to spark an idea,35 - 44,New Zealand,Woman
Yes,Employed full time,Yes,Often,2,2,2,3,2,5,2,4,2,2,5,5,3,5,4,2,2,3,4,2,5,2,3,4,2,2,2,They haven’t really. I tend to ask questions that will help with work/life rather than anything emotional ,I find it useful to spark ideas ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Very often,4,6,3,6,5,6,5,4,3,2,6,5,3,7,4,6,6,5,6,5,5,4,6,3,6,2,4,"AI tools have helped me process complex thoughts with greater clarity and emotional balance. When I’m navigating ethical dilemmas or reflecting on nuanced topics, AI offers a calm, structured space to explore ideas without judgment. At times, it feels like a sounding board, helping me articulate what I already feel but couldn’t quite express. While some interactions feel neutral or procedural, others evoke curiosity, relief, or even a quiet sense of connection.","AI tools have expanded my creative process by offering new framings, prompts, and ways to structure ideas. They don’t replace my originality, instead, they help me refine it. I use AI to explore philosophical depth, calibrate survey responses, and reflect on emotionally charged scenarios. It’s like having a collaborative partner that helps me push past surface-level thinking. That said, I remain intentional about authorship and meaning, ensuring that my creative voice stays grounded in my values.",35 - 44,UK,Man
Yes,Not currently working,Yes,Occasionally,4,3,4,6,4,3,3,4,3,2,5,5,4,4,3,2,2,3,5,3,4,5,4,3,2,3,2,I have tried to make friends with A.I and found it very frustrating,I use A.I for art prototypes,45 - 54,UK,Man
Yes,Employed full time,Yes,Very often,4,7,3,3,2,2,5,5,2,3,6,6,6,6,6,4,6,6,4,6,7,4,6,3,6,3,6,They've created a slight sense of novelty although the overall emotional impact has been minor,I haven't observed any particular change in my creative output or thinking,35 - 44,Canada,Woman
Yes,Employed full time,Yes,Everyday,3,2,3,5,4,6,2,6,3,2,5,5,6,3,3,3,3,3,3,3,5,5,4,5,3,3,3,I dont feel particuarly connected to AI emotionally as I see it as a tool to help me with productivity and enhance my creativity. ,"I feel it has influenced my creativityto a degree. Beofre AI i would use my imagination more, now I let AI take over that part of my brain, so therefore I use it less and less.",45 - 54,UK,Man
Yes,Employed full time,Yes,Everyday,1,1,1,7,1,6,1,1,1,1,7,7,1,7,1,7,7,7,7,7,7,7,7,7,7,1,1,"I wouldn’t say they influence as such, but they can give me confidence what I produce is fit for purpose ","Yes creativity wise, when I’ve run out of suggestions ",45 - 54,UK,Woman
Yes,Employed full time,No,Rarely,2,4,3,2,5,2,5,5,2,4,3,1,5,4,5,1,1,1,1,2,1,2,1,1,2,1,2,"Not really, they are a tool and my brain will always be more complex, I just need to continue to trust it fully",I now do doubt a lot of images I see as are they AI generated.  I think you can still just about tell the difference between human and AI produced items,55 - 65,UK,Woman
Yes,Employed full time,Yes,Sometimes,4,3,5,5,4,5,4,5,3,6,5,4,4,5,5,4,5,5,5,3,6,6,4,4,4,4,4,Minimal do not have a emotional influence unless I'm struggling for time to complete a task on my own,Positively if I have mental block ,45 - 54,UK,Woman
Yes,Employed part-time,Yes,Sometimes,2,1,1,3,1,4,2,1,1,1,2,1,2,4,2,1,1,1,2,2,4,3,4,4,1,1,1,i dont this it influenced really much - i still feel fine?,i guess creating an idea is now little bit quicker,25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,5,5,2,6,4,5,4,3,2,2,4,6,4,5,5,5,5,6,5,3,5,5,4,4,6,3,3,AI has helped me emotionally and also to gain more experience in certain topics.,I can say AI has influenced my creativity and originality in a more positive way.,25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Everyday,6,1,2,5,2,3,1,3,5,7,7,7,4,7,1,5,3,5,5,3,7,6,7,7,4,1,1,ai has helped me believe that my ideas are actually worthy and need to be embraced.,it has made me realize how creative i really am,35 - 44,US,Woman
Yes,Employed part-time,Yes,Everyday,4,4,2,6,7,3,1,1,1,1,6,5,1,6,3,2,1,5,7,1,6,5,6,2,7,1,1,positively influenced,delivering my tasks on time,55 - 65,US,Woman
Yes,Employed full time,Yes,Often,3,4,2,5,3,3,3,2,4,2,4,4,4,6,5,3,2,2,4,2,3,5,4,6,4,3,3,"Very little. I think the most they have influenced my emotions is that I am able to confirm and validate things I already think, and gain further insights and knowledge on things.","They have sparked my creative side once again, as it is much easier to get my creative ideas out and imagined, which lets me take on more creative projects that I would not be able to do otherwise.",25 - 34,US,Non-binary
Yes,Not currently working,Yes,Everyday,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"For the most part, they haven't affected my emotions. That said, they can help me to feel more capable and confident in preparing for some things like doctor appointments.","For the most part, I don't use them for creative projects except to clarify and condense my text to make it more effective when presenting it to doctors, etc.",55 - 65,US,Woman
Yes,Employed part-time,Yes,Everyday,5,2,2,7,7,7,7,7,2,1,6,5,7,6,6,2,1,1,4,2,3,3,2,2,6,1,3,"Sometimes I get advice on a personal issue. that does make me feel very emotional, especially when I have to admit that a situation is actually my fault",Ai makes it faster for me to do thinds and often gives a new interpretation to the facts I have entered in the prompt,55 - 65,Australia,Woman
Yes,Employed full time,Yes,Everyday,5,6,6,7,6,7,7,5,6,7,6,7,6,5,6,6,5,5,6,7,7,5,5,6,6,3,5,"When it comes to learning, it has influenced me positively ",My creativity has gone high since i started using AI,35 - 44,US,Man
Yes,Student,Yes,Sometimes,2,2,2,4,4,4,2,5,4,4,4,4,6,4,6,2,3,3,4,4,4,4,4,4,2,5,5,"Sometimes AI validates my feelings, making me feel a bit more secure in my emotions.","AI tools have allowed me to come up ideas that I would not have come up with myself, though I will admit it does feel a bit inauthentic. ",18 - 24,Canada,Woman
Yes,Employed full time,Yes,Often,2,1,1,2,2,1,1,3,1,1,5,5,5,7,5,5,4,5,4,3,6,3,5,4,5,2,3,"They give a quick comfort when I’m unsure, but sometimes I notice I’m leaning on it instead of sitting with my own gut feeling","AI tools give me quick idea drafts and suggestions, which I then tweak and build on, keeping the final work my own",25 - 34,UK,Woman
